ticker,inception_date,net_assets,equity_class,region,market
IBB,2001-02-05,7261454469.88,All Cap,North America,Developed
IGM,2001-03-13,4292236422.59,All Cap,North America,Developed
SOXX,2001-07-10,12449511610.07,All Cap,North America,Developed
IGV,2001-07-10,7261623548.61,All Cap,North America,Developed
IDGT,2001-07-10,42137262.66,All Cap,North America,Developed
IWR,2001-07-17,32883990787.13,Mid Cap,North America,Developed
IWP,2001-07-17,15088199972.04,Mid Cap,North America,Developed
IWS,2001-07-17,13795780297.11,Mid Cap,North America,Developed
EFA,2001-08-14,52690673246.86,Large/Mid Cap,Global,Developed
IGE,2001-10-22,595835768.64,All Cap,North America,Developed
JPXN,2001-10-23,87674703.97,Large/Mid Cap,Asia Pacific,Developed
EPP,2001-10-25,1929787703.66,Large/Mid Cap,Asia Pacific,Developed
ILF,2001-10-25,1689494803.16,Large Cap,Latin America,Emerging
IXN,2001-11-12,4447321680.18,All Cap,Global,Developed
IXC,2001-11-12,3464090327.08,All Cap,Global,Developed
IXG,2001-11-12,396942817.17,All Cap,Global,Developed
IXP,2001-11-12,274283396.02,All Cap,Global,Developed
IXJ,2001-11-13,3969860615.79,All Cap,Global,Developed
EZA,2003-02-03,272563762.15,Large/Mid Cap,Middle East and Africa,Emerging
EEM,2003-04-07,18290019071.55,Large/Mid Cap,Global,Emerging
IYT,2003-10-06,954128058.23,All Cap,North America,Developed
DVY,2003-11-03,18569409104.5,All Cap,North America,Developed
ITOT,2004-01-20,53070439932.03,All Cap,North America,Developed
ILCG,2004-06-28,2066312112.0,Large/Mid Cap,North America,Developed
IMCG,2004-06-28,2015605567.06,Mid Cap,North America,Developed
ILCV,2004-06-28,914992164.27,Large/Mid Cap,North America,Developed
ILCB,2004-06-28,876964079.45,Large/Mid Cap,North America,Developed
IMCB,2004-06-28,852375720.36,Mid Cap,North America,Developed
IMCV,2004-06-28,611698348.85,Mid Cap,North America,Developed
ISCG,2004-06-28,541025954.84,Small Cap,North America,Developed
ISCV,2004-06-28,414029260.1,Small Cap,North America,Developed
ISCB,2004-06-28,219962948.28,Small Cap,North America,Developed
FXI,2004-10-05,4539809796.88,Large Cap,Asia Pacific,Emerging
