date,nav_value,shares,Non-FV NAV
2000-03-07,36.727937,825030,--
2000-03-06,36.697817,825030,--
2000-03-03,36.596451,825030,--
2000-03-02,36.534126,825030,--
2000-03-01,35.649637,825030,--
2000-02-29,34.645734,825030,--
2000-02-28,34.76339,825030,--
2000-02-25,34.889798,825030,--
2000-02-24,34.224949,825030,--
2000-02-23,33.645031,825030,--
2000-02-22,33.320607,825030,--
2000-02-18,33.232937,825030,--
2000-02-17,32.968038,825030,--
2000-02-16,32.565264,825030,--
2000-02-15,31.364108,825030,--
2000-02-14,32.32354,825030,--
2000-02-11,33.149692,825030,--
2000-02-10,33.169327,825030,--
2000-02-09,33.19655,825030,--
2000-02-08,33.018607,675030,--
2000-02-07,31.963691,675030,--
2000-02-04,31.494126,675030,--
2000-02-03,31.330889,675030,--
2000-02-02,30.742011,675030,--
2000-02-01,29.525725,675030,--
2000-01-31,28.781106,675030,--
2000-01-28,29.688518,675030,--
2000-01-27,29.713642,675030,--
2000-01-26,30.368739,675030,--
2000-01-25,30.241382,675030,--
2000-01-24,30.408834,825030,--
2000-01-21,30.172612,825030,--
2000-01-20,30.185811,825030,--
2000-01-19,30.126614,825030,--
2000-01-18,30.310922,825030,--
2000-01-14,30.131438,825030,--
2000-01-13,29.841872,825030,--
2000-01-12,29.687587,825030,--
2000-01-11,29.750603,825030,--
2000-01-10,29.366047,825030,--
2000-01-07,28.417997,825030,--
2000-01-06,28.250912,825030,--
2000-01-05,28.248246,825030,--
2000-01-04,29.373611,825030,--
2000-01-03,30.009442,825030,--
1999-12-31,29.308134,825030,--
1999-12-30,29.188963,825030,--
1999-12-29,29.285044,825030,--
1999-12-28,29.090894,825030,--
1999-12-27,28.881083,825030,--
1999-12-23,28.782917,825030,--
1999-12-22,28.207786,825030,--
1999-12-21,27.498758,825030,--
1999-12-20,28.607226,825030,--
1999-12-17,28.862672,825030,--
1999-12-16,28.612366,825030,--
1999-12-15,28.21895,825030,--
1999-12-14,28.824649,825030,--
1999-12-13,28.729573,825030,--
1999-12-10,28.640001,825030,--
1999-12-09,29.029514,825030,--
1999-12-08,29.867035,825030,--
1999-12-07,28.267833,825030,--
1999-12-06,28.092445,825030,--
1999-12-03,27.46168,825030,--
1999-12-02,26.89781,825030,--
1999-12-01,26.457038,825030,--
1999-11-30,25.936681,825030,--
1999-11-29,26.267251,825030,--
1999-11-26,26.183969,825030,--
1999-11-24,25.680715,825030,--
1999-11-23,26.094421,825030,--
1999-11-22,26.14431,825030,--
1999-11-19,26.250742,825030,--
1999-11-18,26.835557,825030,--
1999-11-17,26.433063,825030,--
1999-11-16,25.622123,825030,--
1999-11-15,25.2489,825030,--
1999-11-12,24.784759,825030,--
1999-11-11,24.964486,825030,--
1999-11-10,24.608984,825030,--
1999-11-09,24.384435,825030,--
1999-11-08,24.374241,825030,--
1999-11-05,24.183666,825030,--
1999-11-04,24.196332,825030,--
1999-11-03,24.130856,825030,--
1999-11-02,24.076931,825030,--
1999-11-01,23.86306,825030,--
1999-10-29,23.992425,825030,--
1999-10-28,23.589045,825030,--
1999-10-27,23.371768,825030,--
1999-10-26,23.268014,825030,--
1999-10-25,23.009163,825030,--
1999-10-22,22.811219,825030,--
1999-10-21,21.9097,825030,--
1999-10-20,21.960583,825030,--
1999-10-19,22.126032,825030,--
1999-10-18,21.74607,825030,--
1999-10-15,22.245943,825030,--
1999-10-14,22.571892,900030,--
1999-10-13,22.632623,900030,--
