date,nav_value,shares,Non-FV NAV
2005-06-14,30.29,12100000,--
2005-06-13,30.24,12100000,--
2005-06-10,30.25,12100000,--
2005-06-09,30.285,12100000,--
2005-06-08,30.33,12100000,--
2005-06-07,30.355,12100000,--
2005-06-06,30.225,12100000,--
2005-06-03,30.255,12100000,--
2005-06-02,30.44,12100000,--
2005-06-01,30.405,12100000,--
2005-05-31,30.14,12100000,--
2005-05-27,30.45,12100000,--
2005-05-26,30.415,12100000,--
2005-05-25,30.33,12100000,--
2005-05-24,30.37,12100000,--
2005-05-23,30.38,11300000,--
2005-05-20,30.195,11300000,--
2005-05-19,30.305,11300000,--
2005-05-18,30.14,11300000,--
2005-05-17,29.835,11300000,--
2005-05-16,29.695,11300000,--
2005-05-13,29.645,11300000,--
2005-05-12,29.745,11300000,--
2005-05-11,29.955,11300000,--
2005-05-10,29.985,11300000,--
2005-05-09,30.245,11300000,--
2005-05-06,30.225,11300000,--
2005-05-05,30.25,11300000,--
2005-05-04,30.24,11300000,--
2005-05-03,29.885,11300000,--
2005-05-02,29.8,11300000,--
2005-04-29,29.74,11300000,--
2005-04-28,29.495,11300000,--
2005-04-27,29.72,11300000,--
2005-04-26,29.835,11300000,--
2005-04-25,30.03,11300000,--
2005-04-22,29.935,11300000,--
2005-04-21,29.93,11300000,--
2005-04-20,29.565,11300000,--
2005-04-19,29.83,11300000,--
2005-04-18,29.605,11300000,--
2005-04-15,29.745,11300000,--
2005-04-14,30.09,11300000,--
2005-04-13,30.32,11300000,--
2005-04-12,30.42,11300000,--
2005-04-11,30.475,11300000,--
2005-04-08,30.43,11300000,--
2005-04-07,30.595,11300000,--
2005-04-06,30.37,11300000,--
2005-04-05,30.265,11300000,--
2005-04-04,30.06,11300000,--
2005-04-01,30.225,11300000,--
2005-03-31,30.335,11300000,--
2005-03-30,30.355,11300000,--
2005-03-29,30.135,11300000,--
2005-03-28,30.23,11300000,--
2005-03-24,30.24,11300000,--
2005-03-23,30.285,11300000,--
2005-03-22,30.465,11300000,--
2005-03-21,30.63,11300000,--
2005-03-18,30.885,11300000,--
2005-03-17,30.905,11300000,--
2005-03-16,30.96,11300000,--
2005-03-15,31.13,11300000,--
2005-03-14,31.25,11300000,--
2005-03-11,31.29,11300000,--
2005-03-10,31.355,11300000,--
2005-03-09,31.39,11300000,--
2005-03-08,31.6,11300000,--
2005-03-07,31.57,11300000,--
2005-03-04,31.6,11300000,--
2005-03-03,31.255,11300000,--
2005-03-02,31.225,11300000,--
2005-03-01,31.245,11300000,--
2005-02-28,31.155,11300000,--
2005-02-25,31.26,11300000,--
2005-02-24,30.985,11300000,--
2005-02-23,30.855,11300000,--
2005-02-22,30.875,11300000,--
2005-02-18,31.005,11300000,--
2005-02-17,30.855,11300000,--
2005-02-16,30.93,11500000,--
2005-02-15,30.985,9900000,--
2005-02-14,30.875,9900000,--
2005-02-11,30.735,9900000,--
2005-02-10,30.565,9900000,--
2005-02-09,30.4,9900000,--
2005-02-08,30.47,9900000,--
2005-02-07,30.455,9300000,--
2005-02-04,30.47,9300000,--
2005-02-03,30.165,9300000,--
2005-02-02,30.295,9100000,--
2005-02-01,30.165,9100000,--
2005-01-31,30.015,9100000,--
2005-01-28,29.815,9100000,--
2005-01-27,29.95,9100000,--
2005-01-26,29.9,9100000,--
2005-01-25,29.685,9100000,--
2005-01-24,29.565,9100000,--
2005-01-21,29.53,9100000,--
2005-01-20,29.62,9100000,--
2005-01-19,29.87,9100000,--
2005-01-18,30.02,9100000,--
2005-01-14,29.91,9100000,--
2005-01-13,29.85,9100000,--
2005-01-12,30.09,9100000,--
2005-01-11,29.98,9100000,--
2005-01-10,30.125,9100000,--
2005-01-07,30.04,9100000,--
2005-01-06,30.12,9100000,--
2005-01-05,30.08,9100000,--
2005-01-04,30.22,9100000,--
2005-01-03,30.48,9100000,--
2004-12-31,30.625,9100000,--
2004-12-30,30.665,9100000,--
2004-12-29,30.62,8700000,--
2004-12-28,30.665,8700000,--
2004-12-27,30.565,8700000,--
2004-12-23,30.525,8900000,--
2004-12-22,30.88,8900000,--
2004-12-21,30.71,8900000,--
2004-12-20,30.615,8900000,--
2004-12-17,30.415,8900000,--
2004-12-16,30.79,8900000,--
2004-12-15,30.865,8900000,--
2004-12-14,30.685,8900000,--
2004-12-13,30.6,8900000,--
2004-12-10,30.25,8900000,--
2004-12-09,30.3,8900000,--
2004-12-08,30.34,8900000,--
2004-12-07,30.415,8900000,--
2004-12-06,30.535,8900000,--
2004-12-03,30.61,8900000,--
2004-12-02,30.505,8900000,--
2004-12-01,30.47,9000000,--
2004-11-30,30.08,9000000,--
2004-11-29,30.225,9000000,--
2004-11-26,30.25,9000000,--
2004-11-24,30.115,8900000,--
2004-11-23,30.02,8900000,--
2004-11-22,30.005,8900000,--
2004-11-19,30.085,8900000,--
2004-11-18,30.33,8900000,--
2004-11-17,30.345,8900000,--
2004-11-16,30.035,8400000,--
2004-11-15,30.195,8400000,--
2004-11-12,30.175,8400000,--
2004-11-11,29.855,8400000,--
2004-11-10,29.635,8400000,--
2004-11-09,29.675,8400000,--
2004-11-08,29.74,8400000,--
2004-11-05,29.785,7600000,--
2004-11-04,29.6,6700000,--
2004-11-03,29.265,6700000,--
2004-11-02,28.92,6700000,--
2004-11-01,28.83,6700000,--
2004-10-29,28.765,6700000,--
2004-10-28,28.77,6700000,--
2004-10-27,28.635,6700000,--
2004-10-26,28.315,6700000,--
2004-10-25,28.08,6700000,--
2004-10-22,28.185,6700000,--
2004-10-21,28.385,6700000,--
2004-10-20,28.3,6700000,--
2004-10-19,28.33,6700000,--
2004-10-18,28.305,6700000,--
2004-10-15,28.18,6700000,--
2004-10-14,28.09,6700000,--
2004-10-13,28.255,6700000,--
